Degerlendirilen: 1435 dosya   |   referans dili: TR+EN

#### Strict Matching (exact matches)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     42.45 |     33.31 |     37.33 |    1435 |
| authors        |     48.89 |     19.93 |     28.32 |    1435 |
| first_author   |     11.11 |      4.53 |      6.44 |    1435 |
| abstract       |     14.07 |     10.80 |     12.22 |    1435 |
| keywords       |     17.14 |     11.36 |     13.66 |     634 |

#### Soft Matching (punctuation/case/space ignored)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     72.29 |     56.72 |     63.57 |    1435 |
| authors        |     49.23 |     20.07 |     28.51 |    1435 |
| first_author   |     46.84 |     19.09 |     27.13 |    1435 |
| abstract       |     50.45 |     38.75 |     43.83 |    1435 |
| keywords       |     17.14 |     11.36 |     13.66 |     634 |

#### Levenshtein Matching (>= 0.8)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     87.30 |     68.50 |     76.77 |    1435 |
| authors        |     63.08 |     25.71 |     36.53 |    1435 |
| first_author   |     50.77 |     20.70 |     29.41 |    1435 |
| abstract       |     85.21 |     65.44 |     74.02 |    1435 |
| keywords       |     22.38 |     14.83 |     17.84 |     634 |

#### Ratcliff/Obershelp Matching (>= 0.95)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     82.06 |     64.39 |     72.16 |    1435 |
| authors        |     54.53 |     22.23 |     31.58 |    1435 |
| first_author   |     48.55 |     19.79 |     28.12 |    1435 |
| abstract       |     81.03 |     62.23 |     70.40 |    1435 |
| keywords       |     19.29 |     12.78 |     15.37 |     634 |

