Degerlendirilen: 1051 dosya   |   referans dili: TR+EN

#### Strict Matching (exact matches)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     48.40 |     30.16 |     37.16 |    1051 |
| authors        |     46.69 |     10.75 |     17.48 |    1051 |
| first_author   |      7.02 |      1.62 |      2.63 |    1051 |
| abstract       |     11.89 |      8.09 |      9.63 |    1051 |
| keywords       |     32.82 |     15.57 |     21.12 |     411 |

#### Soft Matching (punctuation/case/space ignored)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     72.98 |     45.48 |     56.04 |    1051 |
| authors        |     46.69 |     10.75 |     17.48 |    1051 |
| first_author   |     35.12 |      8.09 |     13.15 |    1051 |
| abstract       |     49.93 |     33.97 |     40.43 |    1051 |
| keywords       |     32.82 |     15.57 |     21.12 |     411 |

#### Levenshtein Matching (>= 0.8)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     85.34 |     53.19 |     65.53 |    1051 |
| authors        |     58.26 |     13.42 |     21.81 |    1051 |
| first_author   |     37.19 |      8.56 |     13.92 |    1051 |
| abstract       |     84.90 |     57.75 |     68.74 |    1051 |
| keywords       |     43.08 |     20.44 |     27.72 |     411 |

#### Ratcliff/Obershelp Matching (>= 0.95)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     82.14 |     51.19 |     63.07 |    1051 |
| authors        |     51.65 |     11.89 |     19.33 |    1051 |
| first_author   |     36.36 |      8.37 |     13.61 |    1051 |
| abstract       |     81.26 |     55.28 |     65.80 |    1051 |
| keywords       |     36.41 |     17.27 |     23.43 |     411 |

