Degerlendirilen: 1435 dosya   |   referans dili: TR+EN

#### Strict Matching (exact matches)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     42.84 |     32.96 |     37.26 |    1435 |
| authors        |     49.38 |     19.51 |     27.97 |    1435 |
| first_author   |     10.76 |      4.25 |      6.09 |    1435 |
| abstract       |     13.62 |     10.45 |     11.83 |    1435 |
| keywords       |     25.53 |     13.25 |     17.45 |     634 |

#### Soft Matching (punctuation/case/space ignored)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     73.19 |     56.31 |     63.65 |    1435 |
| authors        |     49.74 |     19.65 |     28.17 |    1435 |
| first_author   |     46.74 |     18.47 |     26.47 |    1435 |
| abstract       |     51.95 |     39.86 |     45.11 |    1435 |
| keywords       |     25.53 |     13.25 |     17.45 |     634 |

#### Levenshtein Matching (>= 0.8)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     88.13 |     67.80 |     76.64 |    1435 |
| authors        |     61.38 |     24.25 |     34.77 |    1435 |
| first_author   |     50.44 |     19.93 |     28.57 |    1435 |
| abstract       |     87.83 |     67.39 |     76.26 |    1435 |
| keywords       |     32.52 |     16.88 |     22.22 |     634 |

#### Ratcliff/Obershelp Matching (>= 0.95)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     83.33 |     64.11 |     72.47 |    1435 |
| authors        |     54.14 |     21.39 |     30.67 |    1435 |
| first_author   |     48.50 |     19.16 |     27.47 |    1435 |
| abstract       |     83.11 |     63.76 |     72.16 |    1435 |
| keywords       |     27.36 |     14.20 |     18.69 |     634 |

