Degerlendirilen: 1435 dosya   |   referans dili: TR+EN

#### Strict Matching (exact matches)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     25.06 |     22.72 |     23.83 |    1435 |
| authors        |     27.24 |     24.18 |     25.62 |    1435 |
| first_author   |      6.59 |      5.85 |      6.20 |    1435 |
| abstract       |     12.89 |     10.38 |     11.50 |    1435 |
| keywords       |     26.72 |     14.67 |     18.94 |     634 |

#### Soft Matching (punctuation/case/space ignored)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     43.81 |     39.72 |     41.67 |    1435 |
| authors        |     27.39 |     24.32 |     25.77 |    1435 |
| first_author   |     29.04 |     25.78 |     27.32 |    1435 |
| abstract       |     47.66 |     38.40 |     42.53 |    1435 |
| keywords       |     26.72 |     14.67 |     18.94 |     634 |

#### Levenshtein Matching (>= 0.8)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     56.26 |     51.01 |     53.51 |    1435 |
| authors        |     34.85 |     30.94 |     32.78 |    1435 |
| first_author   |     32.26 |     28.64 |     30.34 |    1435 |
| abstract       |     83.39 |     67.18 |     74.41 |    1435 |
| keywords       |     33.33 |     18.30 |     23.63 |     634 |

#### Ratcliff/Obershelp Matching (>= 0.95)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     49.27 |     44.67 |     46.86 |    1435 |
| authors        |     30.22 |     26.83 |     28.42 |    1435 |
| first_author   |     29.67 |     26.34 |     27.91 |    1435 |
| abstract       |     77.68 |     62.58 |     69.32 |    1435 |
| keywords       |     28.16 |     15.46 |     19.96 |     634 |

